"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Big Twin Lake",182200,92014,"2019","05/04/2019","0:00",98.48,0
"Big Twin Lake",182200,92014,"2018","09/29/2018","0:00",90.88,-2.31648000000001
"Big Twin Lake",182200,92014,"2018","09/03/2018","0:00",90.79,-2.343912
"Big Twin Lake",182200,92014,"2018","08/27/2018","0:00",90.81,-2.337816
"Big Twin Lake",182200,92014,"2018","08/20/2018","0:00",90.71,-2.368296
"Big Twin Lake",182200,92014,"2018","08/13/2018","0:00",90.79,-2.343912
"Big Twin Lake",182200,92014,"2018","08/07/2018","0:00",90.85,-2.325624
"Big Twin Lake",182200,92014,"2018","07/30/2018","0:00",90.87,-2.319528
"Big Twin Lake",182200,92014,"2018","07/23/2018","0:00",90.89,-2.313432
"Big Twin Lake",182200,92014,"2018","07/15/2018","0:00",90.95,-2.295144
"Big Twin Lake",182200,92014,"2018","07/09/2018","0:00",90.99,-2.28295200000001
"Big Twin Lake",182200,92014,"2018","06/27/2018","0:00",91.16,-2.231136
"Big Twin Lake",182200,92014,"2018","06/11/2018","0:00",91.09,-2.252472
"Big Twin Lake",182200,92014,"2018","06/05/2018","0:00",91.19,-2.221992
"Big Twin Lake",182200,92014,"2018","05/20/2018","0:00",91.13,-2.24028000000001
"Big Twin Lake",182200,92014,"2018","06/18/2018","0:00",91.38,-2.16408000000001
"Big Twin Lake",182200,92014,"2018","05/19/2018","0:00",91.21,-2.215896
"Big Twin Lake",182200,92014,"2017","10/22/2017","0:00",99.83,0.411479999999997
"Big Twin Lake",182200,92014,"2017","10/22/2017","0:00",99.85,0.417575999999997
"Big Twin Lake",182200,92014,"2017","10/17/2017","0:00",99.85,0.417575999999997
"Big Twin Lake",182200,92014,"2017","10/08/2017","0:00",99.91,0.435863999999995
"Big Twin Lake",182200,92014,"2017","10/01/2017","0:00",99.84,0.414527999999997
"Big Twin Lake",182200,92014,"2017","09/24/2017","0:00",99.93,0.441959999999998
"Big Twin Lake",182200,92014,"2017","09/17/2017","0:00",99.86,0.420623999999997
"Big Twin Lake",182200,92014,"2017","09/10/2017","0:00",99.93,0.441959999999998
"Big Twin Lake",182200,92014,"2017","09/03/2017","0:00",100.03,0.472439999999999
"Big Twin Lake",182200,92014,"2017","08/27/2017","0:00",100.04,0.475487999999999
"Big Twin Lake",182200,92014,"2017","08/20/2017","0:00",99.99,0.460247999999996
"Big Twin Lake",182200,92014,"2017","08/13/2017","0:00",99.93,0.441959999999998
"Big Twin Lake",182200,92014,"2017","08/06/2017","0:00",99.94,0.445007999999998
"Big Twin Lake",182200,92014,"2017","07/30/2017","0:00",99.97,0.454151999999997
"Big Twin Lake",182200,92014,"2017","07/23/2017","0:00",100.05,0.478535999999995
"Big Twin Lake",182200,92014,"2017","07/16/2017","0:00",100.07,0.484631999999994
"Big Twin Lake",182200,92014,"2017","07/09/2017","0:00",100.08,0.487679999999997
"Big Twin Lake",182200,92014,"2017","07/02/2017","0:00",100.19,0.521207999999998
"Big Twin Lake",182200,92014,"2017","06/25/2017","0:00",100.18,0.518159999999998
"Big Twin Lake",182200,92014,"2017","06/18/2017","0:00",100.17,0.515111999999998
"Big Twin Lake",182200,92014,"2017","06/11/2017","0:00",100.01,0.466343999999999
"Big Twin Lake",182200,92014,"2017","06/04/2017","0:00",100.11,0.496823999999997
"Big Twin Lake",182200,92014,"2017","06/03/2017","0:00",100.11,0.496823999999997
"Big Twin Lake",182200,92014,"2016","07/12/2016","0:00",99.74,0.384047999999996
"Big Twin Lake",182200,92014,"2016","11/14/2016","0:00",99.71,0.374903999999994
"Big Twin Lake",182200,92014,"2016","11/09/2016","0:00",99.77,0.393191999999996
"Big Twin Lake",182200,92014,"2016","11/02/2016","0:00",99.83,0.411479999999997
"Big Twin Lake",182200,92014,"2016","10/25/2016","0:00",99.82,0.408431999999994
"Big Twin Lake",182200,92014,"2016","10/18/2016","0:00",99.91,0.435863999999995
"Big Twin Lake",182200,92014,"2016","10/11/2016","0:00",99.85,0.417575999999997
"Big Twin Lake",182200,92014,"2016","10/04/2016","0:00",99.89,0.429767999999996
"Big Twin Lake",182200,92014,"2016","09/30/2016","0:00",99.95,0.448055999999998
"Big Twin Lake",182200,92014,"2016","09/20/2016","0:00",99.91,0.435863999999995
"Big Twin Lake",182200,92014,"2016","09/13/2016","0:00",99.7,0.371855999999998
"Big Twin Lake",182200,92014,"2016","09/06/2016","0:00",99.69,0.368807999999998
"Big Twin Lake",182200,92014,"2016","08/30/2016","0:00",99.72,0.377951999999997
"Big Twin Lake",182200,92014,"2016","08/23/2016","0:00",99.72,0.377951999999997
"Big Twin Lake",182200,92014,"2016","08/16/2016","0:00",99.72,0.377951999999997
"Big Twin Lake",182200,92014,"2016","08/08/2016","0:00",99.67,0.362711999999998
"Big Twin Lake",182200,92014,"2016","08/02/2016","0:00",99.71,0.374903999999994
"Big Twin Lake",182200,92014,"2016","07/19/2016","0:00",99.71,0.374903999999994
"Big Twin Lake",182200,92014,"2016","07/12/2016","0:00",99.72,0.377951999999997
"Big Twin Lake",182200,92014,"2016","07/26/2016","0:00",99.67,0.362711999999998
"Big Twin Lake",182200,92014,"2016","07/15/2016","0:00",99.67,0.362711999999998
