"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Grindle Lake",421600,92014,"2019","08/10/2019","0:00",944.25,0
"Grindle Lake",421600,92014,"2019","08/03/2019","0:00",944.21,-0.0121920000000273
"Grindle Lake",421600,92014,"2019","07/27/2019","0:00",944.25,0
"Grindle Lake",421600,92014,"2019","07/20/2019","0:00",944.39,0.0426719999999818
"Grindle Lake",421600,92014,"2019","07/19/2019","0:00",944.29,0.0121919999999704
"Grindle Lake",421600,92014,"2019","07/13/2019","0:00",944.17,-0.0243840000000546
"Grindle Lake",421600,92014,"2019","07/07/2019","0:00",944.35,0.0304800000000114
"Grindle Lake",421600,92014,"2019","06/29/2019","0:00",944.35,0.0304800000000114
"Grindle Lake",421600,92014,"2019","06/22/2019","0:00",944.39,0.0426719999999818
"Grindle Lake",421600,92014,"2019","06/15/2019","0:00",944.65,0.121919999999989
"Grindle Lake",421600,92014,"2019","06/08/2019","0:00",944.51,0.0792480000000069
"Grindle Lake",421600,92014,"2019","06/01/2019","0:00",944.61,0.109727999999961
"Grindle Lake",421600,92014,"2019","05/26/2019","0:00",944.57,0.097535999999991
"Grindle Lake",421600,92014,"2019","05/17/2019","0:00",944.45,0.0609600000000228
"Grindle Lake",421600,92014,"2019","05/11/2019","0:00",944.51,0.0792480000000069
"Grindle Lake",421600,92014,"2019","05/07/2019","0:00",944.39,0.0426719999999818
"Grindle Lake",421600,92014,"2018","10/13/2018","0:00",943.51,-0.225551999999993
"Grindle Lake",421600,92014,"2018","10/06/2018","0:00",943.35,-0.274319999999989
"Grindle Lake",421600,92014,"2018","09/29/2018","0:00",943.19,-0.323087999999984
"Grindle Lake",421600,92014,"2018","09/22/2018","0:00",943.19,-0.323087999999984
"Grindle Lake",421600,92014,"2018","09/16/2018","0:00",943.23,-0.310896000000014
"Grindle Lake",421600,92014,"2018","09/02/2018","0:00",943.21,-0.316992000000027
"Grindle Lake",421600,92014,"2018","10/16/2018","0:00",943.52,-0.222504000000015
"Grindle Lake",421600,92014,"2018","08/12/2018","0:00",943.37,-0.268224000000032
"Grindle Lake",421600,92014,"2018","08/26/2018","0:00",943.21,-0.316992000000027
"Grindle Lake",421600,92014,"2018","08/19/2018","0:00",943.25,-0.3048
"Grindle Lake",421600,92014,"2018","07/29/2018","0:00",943.47,-0.237744000000021
"Grindle Lake",421600,92014,"2018","07/22/2018","0:00",943.49,-0.231648000000007
"Grindle Lake",421600,92014,"2018","07/15/2018","0:00",943.61,-0.195072000000039
"Grindle Lake",421600,92014,"2018","07/08/2018","0:00",943.69,-0.170687999999984
"Grindle Lake",421600,92014,"2018","07/02/2018","0:00",943.79,-0.14020800000003
"Grindle Lake",421600,92014,"2018","07/01/2018","0:00",943.57,-0.207264000000009
"Grindle Lake",421600,92014,"2018","06/24/2018","0:00",943.65,-0.182880000000011
"Grindle Lake",421600,92014,"2018","06/17/2018","0:00",943.59,-0.201167999999996
"Grindle Lake",421600,92014,"2018","06/10/2018","0:00",943.51,-0.225551999999993
"Grindle Lake",421600,92014,"2018","05/27/2018","0:00",943.59,-0.201167999999996
"Grindle Lake",421600,92014,"2018","05/20/2018","0:00",943.63,-0.188976000000025
"Grindle Lake",421600,92014,"2018","05/08/2018","0:00",943.69,-0.170687999999984
"Grindle Lake",421600,92014,"2017","10/19/2017","0:00",943.84,-0.124968000000024
"Grindle Lake",421600,92014,"2017","10/01/2017","0:00",943.88,-0.112775999999997
"Grindle Lake",421600,92014,"2017","09/24/2017","0:00",943.96,-0.0883919999999989
"Grindle Lake",421600,92014,"2017","09/17/2017","0:00",944.04,-0.0640080000000012
"Grindle Lake",421600,92014,"2017","09/03/2017","0:00",944.06,-0.0579120000000444
"Grindle Lake",421600,92014,"2017","08/27/2017","0:00",944.04,-0.0640080000000012
"Grindle Lake",421600,92014,"2017","08/20/2017","0:00",944.06,-0.0579120000000444
"Grindle Lake",421600,92014,"2017","08/06/2017","0:00",944.2,-0.0152400000000057
"Grindle Lake",421600,92014,"2017","07/30/2017","0:00",944.2,-0.0152400000000057
"Grindle Lake",421600,92014,"2017","07/23/2017","0:00",944.26,0.0030479999999784
"Grindle Lake",421600,92014,"2017","07/16/2017","0:00",944.34,0.0274319999999761
"Grindle Lake",421600,92014,"2017","07/09/2017","0:00",944.24,-0.00304800000003524
"Grindle Lake",421600,92014,"2017","07/03/2017","0:00",944.32,0.0213360000000193
"Grindle Lake",421600,92014,"2017","06/18/2017","0:00",944.5,0.0761999999999716
"Grindle Lake",421600,92014,"2017","06/17/2017","0:00",944.47,0.0670559999999796
"Grindle Lake",421600,92014,"2017","06/11/2017","0:00",944.38,0.0396240000000034
"Grindle Lake",421600,92014,"2017","05/22/2017","0:00",944.38,0.0396240000000034
"Grindle Lake",421600,92014,"2017","05/12/2017","0:00",944.19,-0.0182879999999841
"Grindle Lake",421600,92014,"2016","11/16/2016","0:00",943.43,-0.249936000000048
"Grindle Lake",421600,92014,"2016","10/30/2016","0:00",943.52,-0.222504000000015
"Grindle Lake",421600,92014,"2016","10/23/2016","0:00",943.52,-0.222504000000015
"Grindle Lake",421600,92014,"2016","10/16/2016","0:00",943.54,-0.216408000000001
"Grindle Lake",421600,92014,"2016","10/09/2016","0:00",943.58,-0.204216000000031
"Grindle Lake",421600,92014,"2016","10/02/2016","0:00",943.63,-0.188976000000025
"Grindle Lake",421600,92014,"2016","09/25/2016","0:00",943.66,-0.179832000000033
"Grindle Lake",421600,92014,"2016","09/18/2016","0:00",943.64,-0.185928000000047
