"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Horseshoe Lake",2630100,92014,"2019","06/06/2019","0:00",1214.23,0
"Horseshoe Lake",2630100,92014,"2018","06/04/2018","0:00",1213.76,-0.143256000000008
"Horseshoe Lake",2630100,92014,"2018","10/02/2018","0:00",1213.58,-0.198120000000017
"Horseshoe Lake",2630100,92014,"2018","09/26/2018","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2018","09/18/2018","0:00",1213.22,-0.307847999999979
"Horseshoe Lake",2630100,92014,"2018","09/10/2018","0:00",1213.22,-0.307847999999979
"Horseshoe Lake",2630100,92014,"2018","09/02/2018","0:00",1213.17,-0.323087999999984
"Horseshoe Lake",2630100,92014,"2018","08/28/2018","0:00",1213.07,-0.353567999999996
"Horseshoe Lake",2630100,92014,"2018","08/22/2018","0:00",1213.08,-0.350520000000017
"Horseshoe Lake",2630100,92014,"2018","08/13/2018","0:00",1213.12,-0.338328000000047
"Horseshoe Lake",2630100,92014,"2018","08/06/2018","0:00",1213.17,-0.323087999999984
"Horseshoe Lake",2630100,92014,"2018","07/29/2018","0:00",1213.12,-0.338328000000047
"Horseshoe Lake",2630100,92014,"2018","07/24/2018","0:00",1213.12,-0.338328000000047
"Horseshoe Lake",2630100,92014,"2018","07/12/2018","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2018","07/03/2018","0:00",1213.56,-0.204216000000031
"Horseshoe Lake",2630100,92014,"2018","06/28/2018","0:00",1213.62,-0.185928000000047
"Horseshoe Lake",2630100,92014,"2018","06/20/2018","0:00",1213.78,-0.137159999999994
"Horseshoe Lake",2630100,92014,"2018","06/12/2018","0:00",1214.12,-0.0335280000000466
"Horseshoe Lake",2630100,92014,"2018","06/04/2018","0:00",1214.22,-0.0030479999999784
"Horseshoe Lake",2630100,92014,"2017","10/12/2017","0:00",1213.33,-0.274319999999989
"Horseshoe Lake",2630100,92014,"2017","10/03/2017","0:00",1213.36,-0.265175999999997
"Horseshoe Lake",2630100,92014,"2017","09/28/2017","0:00",1213.34,-0.27127200000001
"Horseshoe Lake",2630100,92014,"2017","09/12/2017","0:00",1213.2,-0.313943999999992
"Horseshoe Lake",2630100,92014,"2017","09/05/2017","0:00",1213.26,-0.295656000000008
"Horseshoe Lake",2630100,92014,"2017","08/28/2017","0:00",1213.38,-0.259079999999983
"Horseshoe Lake",2630100,92014,"2017","06/21/2017","0:00",1213.85,-0.115824000000032
"Horseshoe Lake",2630100,92014,"2017","08/21/2017","0:00",1213.46,-0.234695999999985
"Horseshoe Lake",2630100,92014,"2017","08/01/2017","0:00",1213.34,-0.27127200000001
"Horseshoe Lake",2630100,92014,"2017","07/25/2017","0:00",1213.62,-0.185928000000047
"Horseshoe Lake",2630100,92014,"2017","07/11/2017","0:00",1213.64,-0.179831999999976
"Horseshoe Lake",2630100,92014,"2017","06/27/2017","0:00",1213.72,-0.155447999999978
"Horseshoe Lake",2630100,92014,"2017","06/13/2017","0:00",1213.6,-0.192024000000004
"Horseshoe Lake",2630100,92014,"2017","06/06/2017","0:00",1213.6,-0.192024000000004
"Horseshoe Lake",2630100,92014,"2017","05/30/2017","0:00",1213.62,-0.185928000000047
"Horseshoe Lake",2630100,92014,"2017","05/14/2017","0:00",1213.57,-0.201167999999996
"Horseshoe Lake",2630100,92014,"2016","10/11/2016","0:00",1213.3,-0.283463999999981
"Horseshoe Lake",2630100,92014,"2016","06/17/2016","0:00",1213.46,-0.234695999999985
"Horseshoe Lake",2630100,92014,"2016","10/11/2016","0:00",1213.3,-0.283463999999981
"Horseshoe Lake",2630100,92014,"2016","06/17/2016","0:00",1213.46,-0.234695999999985
"Horseshoe Lake",2630100,92014,"2016","10/10/2016","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2016","10/03/2016","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2016","09/18/2016","0:00",1213.36,-0.265175999999997
"Horseshoe Lake",2630100,92014,"2016","09/07/2016","0:00",1213.46,-0.234695999999985
"Horseshoe Lake",2630100,92014,"2016","08/31/2016","0:00",1213.44,-0.240791999999999
"Horseshoe Lake",2630100,92014,"2016","08/24/2016","0:00",1213.44,-0.240791999999999
"Horseshoe Lake",2630100,92014,"2016","08/16/2016","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2016","08/09/2016","0:00",1213.26,-0.295656000000008
"Horseshoe Lake",2630100,92014,"2016","08/02/2016","0:00",1213.32,-0.277368000000024
"Horseshoe Lake",2630100,92014,"2016","07/26/2016","0:00",1213.42,-0.246887999999956
"Horseshoe Lake",2630100,92014,"2016","07/05/2016","0:00",1213.44,-0.240791999999999
"Horseshoe Lake",2630100,92014,"2016","07/01/2016","0:00",1213.44,-0.240791999999999
"Horseshoe Lake",2630100,92014,"2016","06/25/2016","0:00",1213.54,-0.210311999999988
"Horseshoe Lake",2630100,92014,"2016","06/15/2016","0:00",1213.4,-0.252983999999969
"Horseshoe Lake",2630100,92014,"2016","06/08/2016","0:00",1213.56,-0.204216000000031
"Horseshoe Lake",2630100,92014,"2016","06/01/2016","0:00",1213.64,-0.179831999999976
"Horseshoe Lake",2630100,92014,"2015","08/16/2015","0:00",1212.03,-0.670560000000023
"Horseshoe Lake",2630100,92014,"2015","11/10/2015","0:00",2422.9,368.402616
"Horseshoe Lake",2630100,92014,"2015","08/26/2015","0:00",2422.52,368.286792
"Horseshoe Lake",2630100,92014,"2015","11/09/2015","0:00",1212.68,-0.472439999999949
"Horseshoe Lake",2630100,92014,"2015","11/02/2015","0:00",1212.67,-0.475487999999984
"Horseshoe Lake",2630100,92014,"2015","10/28/2015","0:00",1212.54,-0.515111999999988
"Horseshoe Lake",2630100,92014,"2015","10/19/2015","0:00",1212.37,-0.566928000000019
"Horseshoe Lake",2630100,92014,"2015","10/12/2015","0:00",1212.36,-0.569975999999997
"Horseshoe Lake",2630100,92014,"2015","10/04/2015","0:00",1212.28,-0.594359999999995
"Horseshoe Lake",2630100,92014,"2015","09/28/2015","0:00",1212.3,-0.588263999999981
"Horseshoe Lake",2630100,92014,"2015","09/15/2015","0:00",1211.97,-0.688848000000007
"Horseshoe Lake",2630100,92014,"2015","09/21/2015","0:00",1212.3,-0.588263999999981
"Horseshoe Lake",2630100,92014,"2015","09/09/2015","0:00",1212.02,-0.673608000000002
"Horseshoe Lake",2630100,92014,"2015","09/01/2015","0:00",1211.98,-0.685799999999972
"Horseshoe Lake",2630100,92014,"2015","08/25/2015","0:00",1212.02,-0.673608000000002
"Horseshoe Lake",2630100,92014,"2015","08/20/2015","0:00",1211.96,-0.691895999999986
"Horseshoe Lake",2630100,92014,"2015","08/18/2015","0:00",1211.67,-0.780287999999985
