"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Paya Lake",425600,92014,"2019","09/20/2019","0:00",1168.99,0
"Paya Lake",425600,92014,"2019","09/06/2019","0:00",1168.69,-0.0914399999999773
"Paya Lake",425600,92014,"2019","08/31/2019","0:00",1168.68,-0.0944879999999557
"Paya Lake",425600,92014,"2019","08/23/2019","0:00",1168.68,-0.0944879999999557
"Paya Lake",425600,92014,"2019","08/17/2019","0:00",1168.77,-0.0670559999999796
"Paya Lake",425600,92014,"2019","07/30/2019","0:00",1168.81,-0.0548640000000091
"Paya Lake",425600,92014,"2019","07/24/2019","0:00",1168.92,-0.0213359999999625
"Paya Lake",425600,92014,"2019","07/15/2019","0:00",1168.81,-0.0548640000000091
"Paya Lake",425600,92014,"2019","06/17/2019","0:00",1168.83,-0.0487679999999955
"Paya Lake",425600,92014,"2019","06/05/2019","0:00",1168.73,-0.0792480000000069
"Paya Lake",425600,92014,"2019","05/29/2019","0:00",1168.83,-0.0487679999999955
"Paya Lake",425600,92014,"2019","05/07/2019","0:00",1168.73,-0.0792480000000069
"Paya Lake",425600,92014,"2018","10/16/2018","0:00",1168.5,-0.149351999999965
"Paya Lake",425600,92014,"2018","09/01/2018","0:00",1168.22,-0.234695999999985
"Paya Lake",425600,92014,"2018","08/22/2018","0:00",1168.14,-0.259079999999983
"Paya Lake",425600,92014,"2018","08/15/2018","0:00",1168.22,-0.234695999999985
"Paya Lake",425600,92014,"2018","08/06/2018","0:00",1168.28,-0.216408000000001
"Paya Lake",425600,92014,"2018","07/30/2018","0:00",1168.26,-0.222504000000015
"Paya Lake",425600,92014,"2018","07/26/2018","0:00",1168.42,-0.173735999999963
"Paya Lake",425600,92014,"2018","07/13/2018","0:00",1168.42,-0.173735999999963
"Paya Lake",425600,92014,"2018","07/04/2018","0:00",1168.48,-0.155447999999978
"Paya Lake",425600,92014,"2018","06/18/2018","0:00",1168.62,-0.112775999999997
"Paya Lake",425600,92014,"2018","06/13/2018","0:00",1168.38,-0.185927999999933
"Paya Lake",425600,92014,"2018","06/01/2018","0:00",1168.42,-0.173735999999963
"Paya Lake",425600,92014,"2018","05/08/2018","0:00",1168.44,-0.167639999999949
"Paya Lake",425600,92014,"2018","05/08/2018","0:00",1168.48,-0.155447999999978
"Paya Lake",425600,92014,"2017","10/19/2017","0:00",1168.58,-0.124968000000024
"Paya Lake",425600,92014,"2017","09/13/2017","0:00",1168.68,-0.0944879999999557
"Paya Lake",425600,92014,"2017","09/08/2017","0:00",1168.68,-0.0944879999999557
"Paya Lake",425600,92014,"2017","09/04/2017","0:00",1168.7,-0.0883919999999989
"Paya Lake",425600,92014,"2017","08/11/2017","0:00",1168.7,-0.0883919999999989
"Paya Lake",425600,92014,"2017","08/01/2017","0:00",1168.7,-0.0883919999999989
"Paya Lake",425600,92014,"2017","07/10/2017","0:00",1168.72,-0.0822959999999853
"Paya Lake",425600,92014,"2017","06/29/2017","0:00",1168.79,-0.0609600000000228
"Paya Lake",425600,92014,"2017","06/13/2017","0:00",1168.9,-0.0274319999999761
"Paya Lake",425600,92014,"2017","05/26/2017","0:00",1168.74,-0.0761999999999716
"Paya Lake",425600,92014,"2017","05/12/2017","0:00",1168.65,-0.103631999999948
"Paya Lake",425600,92014,"2016","11/16/2016","0:00",1168.56,-0.131063999999981
"Paya Lake",425600,92014,"2016","11/03/2016","0:00",1168.63,-0.109727999999961
"Paya Lake",425600,92014,"2016","09/16/2016","0:00",1168.62,-0.112775999999997
"Paya Lake",425600,92014,"2016","08/28/2016","0:00",1168.73,-0.0792480000000069
"Paya Lake",425600,92014,"2016","08/10/2016","0:00",1168.66,-0.100583999999969
"Paya Lake",425600,92014,"2016","09/09/2016","0:00",1168.59,-0.121919999999989
"Paya Lake",425600,92014,"2016","08/17/2016","0:00",1168.73,-0.0792480000000069
"Paya Lake",425600,92014,"2016","07/26/2016","0:00",1168.79,-0.0609600000000228
"Paya Lake",425600,92014,"2016","07/15/2016","0:00",1168.79,-0.0609600000000228
"Paya Lake",425600,92014,"2016","07/01/2016","0:00",1168.85,-0.0426720000000387
"Paya Lake",425600,92014,"2016","06/24/2016","0:00",1168.81,-0.0548640000000091
"Paya Lake",425600,92014,"2016","06/17/2016","0:00",1168.92,-0.0213359999999625
"Paya Lake",425600,92014,"2016","06/07/2016","0:00",1168.93,-0.0182879999999841
"Paya Lake",425600,92014,"2016","05/30/2016","0:00",1168.81,-0.0548640000000091
