"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Sand Lake",2495100,92014,"2017","07/26/2017","0:00",986.84,0
"Sand Lake",2495100,92014,"2017","07/18/2017","0:00",986.9,0.0182879999999841
"Sand Lake",2495100,92014,"2017","07/11/2017","0:00",986.94,0.0304800000000114
"Sand Lake",2495100,92014,"2017","07/03/2017","0:00",987.02,0.0548640000000091
"Sand Lake",2495100,92014,"2017","06/26/2017","0:00",986.96,0.036576000000025
"Sand Lake",2495100,92014,"2017","06/20/2017","0:00",987.06,0.0670559999999796
"Sand Lake",2495100,92014,"2017","06/14/2017","0:00",987.14,0.0914399999999773
"Sand Lake",2495100,92014,"2017","06/06/2017","0:00",986.98,0.0426719999999818
"Sand Lake",2495100,92014,"2017","05/30/2017","0:00",987.08,0.0731519999999932
"Sand Lake",2495100,92014,"2017","05/23/2017","0:00",987.08,0.0731519999999932
"Sand Lake",2495100,92014,"2017","05/17/2017","0:00",986.98,0.0426719999999818
"Sand Lake",2495100,92014,"2017","05/09/2017","0:00",986.92,0.0243839999999977
"Sand Lake",2495100,92014,"2017","05/02/2017","0:00",987,0.0487679999999955
"Sand Lake",2495100,92014,"2017","04/27/2017","0:00",986.93,0.0274319999999761
"Sand Lake",2495100,92014,"2017","04/18/2017","0:00",1971.44,300.10608
