"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Stratton Lake",259600,92014,"2017","09/21/2017","0:00",886.548,0
"Stratton Lake",259600,92014,"2017","09/08/2017","0:00",886.348,-0.0609600000000228
"Stratton Lake",259600,92014,"2017","08/31/2017","0:00",886.408,-0.0426720000000387
"Stratton Lake",259600,92014,"2017","08/23/2017","0:00",886.348,-0.0609600000000228
"Stratton Lake",259600,92014,"2017","08/17/2017","0:00",886.428,-0.036576000000025
"Stratton Lake",259600,92014,"2017","08/09/2017","0:00",886.428,-0.036576000000025
"Stratton Lake",259600,92014,"2017","08/02/2017","0:00",886.448,-0.0304800000000114
"Stratton Lake",259600,92014,"2017","07/19/2017","0:00",886.488,-0.0182879999999841
"Stratton Lake",259600,92014,"2017","07/11/2017","0:00",886.528,-0.00609600000001365
"Stratton Lake",259600,92014,"2017","07/28/2017","0:00",886.448,-0.0304800000000114
