"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Wolf Lake",241100,92014,"2017","11/03/2017","0:00",1084.57,0
"Wolf Lake",241100,92014,"2017","10/22/2017","0:00",1084.55,-0.00609600000001365
"Wolf Lake",241100,92014,"2017","10/11/2017","0:00",1084.53,-0.0121919999999704
"Wolf Lake",241100,92014,"2017","09/29/2017","0:00",1084.37,-0.0609600000000228
"Wolf Lake",241100,92014,"2017","09/22/2017","0:00",1084.41,-0.0487679999999386
"Wolf Lake",241100,92014,"2017","08/29/2017","0:00",1084.05,-0.158496000000014
"Wolf Lake",241100,92014,"2017","08/18/2017","0:00",1084.05,-0.158496000000014
"Wolf Lake",241100,92014,"2017","08/11/2017","0:00",1084.05,-0.158496000000014
"Wolf Lake",241100,92014,"2017","08/04/2017","0:00",1084.03,-0.164591999999971
"Wolf Lake",241100,92014,"2017","07/17/2017","0:00",1084.03,-0.164591999999971
"Wolf Lake",241100,92014,"2017","07/07/2017","0:00",1084.07,-0.1524
"Wolf Lake",241100,92014,"2017","06/30/2017","0:00",1084.02,-0.167640000000006
"Wolf Lake",241100,92014,"2017","06/22/2017","0:00",1084.05,-0.158496000000014
