name,region,size,fMeasure,lMeasure,nMeasure,nSat
Bay Tree Lake,NC,5.8,4/18/2017,1/20/2020,389,114
Catfish Lake,NC,3.8,9/19/2017,5/22/2019,42,203
Great Lake,NC,11.3,9/19/2017,1/10/2020,47,147
Horsepen Lake,NC,1.2,9/21/2017,1/20/2020,209,113
Jones Lake,NC,0.9,4/18/2017,2/1/2020,154,112
Lake Mattamuskeet West,NC,57.6,6/1/2017,1/27/2020,140,120
Phelps Lake,NC,64.5,6/1/2017,1/25/2020,295,109
Salters Lake,NC,1.3,4/18/2017,2/1/2020,144,189
Singletary Lake,NC,2.3,4/18/2017,1/30/2020,106,113
Lake Mattamuskeet East,NC,105.7,6/1/2017,1/27/2020,139,120
Lake Waccamaw,NC,35.8,4/18/2017,1/19/2020,260,112
White Lake,NC,4.3,4/18/2017,12/25/2019,122,114
Beaver Lake,WA,0.3,9/10/2018,1/25/2020,59,71
Walupt Lake,WA,1.5,6/12/2019,10/30/2019,21,176
Bosworth Lake,WA,0.4,9/12/2018,1/28/2020,26,249
Lake Cassidy,WA,0.5,9/12/2018,10/26/2019,38,249
Coldwater Lake,WA,3,6/11/2019,2/1/2020,62,88
Deep Lake,WA,0.2,6/10/2019,11/28/2019,44,82
Dog Lake,WA,0.2,6/13/2019,10/30/2019,10,254
Echo Lake,WA,0.06,9/12/2018,10/30/2019,69,167
Fish Lake,WA,2,6/12/2019,1/24/2020,24,187
Lake Howard,WA,0.1,6/11/2019,12/10/2019,10,305
Lake Ki,WA,0.4,6/11/2019,11/25/2019,10,312
Lake Lawrence,WA,1.3,9/12/2018,2/1/2020,66,273
Leech Lake,WA,0.2,6/13/2019,12/5/2019,35,263
Phantom Lake,WA,0.3,9/10/2018,1/31/2020,167,164
Crabapple Lake,WA,0.1,6/11/2019,8/26/2019,9,267
Lake Roesiger,WA,1.4,9/10/2018,1/28/2020,30,237
Lake Sammamish,WA,19.6,9/11/2018,1/30/2020,193,152
Steel Lake,WA,0.2,6/10/2019,1/31/2020,127,152
Flowing Lake,WA,0.5,9/10/2018,1/28/2020,49,253
North Lake,WA,0.2,6/10/2019,2/1/2020,53,142
Lake Washington,WA,89,10/11/2018,2/1/2020,139,178
Lake Wenatchee,WA,9.7,9/10/2018,1/25/2020,69,185
Lake Martha,WA,0.2,9/13/2018,1/26/2020,80,295
Diamond Lake,IL,0.6,5/16/2019,11/23/2019,28,86
Lake Defiance,IL,0.3,5/15/2019,12/26/2019,62,69
Gages Lake,IL,0.6,5/13/2019,11/23/2019,29,165
Hastings Lake,IL,0.3,5/14/2019,1/11/2020,121,168
Herrick Lake,IL,0.05,5/23/2019,1/31/2020,109,88
Harrier Lake,IL,0.08,5/29/2019,11/21/2019,29,84
Lake Killarney,IL,0.2,5/15/2019,12/11/2019,26,89
Highland Lake,IL,0.4,5/14/2019,9/21/2019,26,167
East Loon Lake,IL,0.8,5/14/2019,1/15/2020,49,158
West Loon Lake,IL,0.7,5/14/2015,1/15/2020,49,172
Lily Lake,IL,0.4,5/15/2019,12/17/2019,29,87
McCullom Lake,IL,1,5/15/2019,11/5/2019,18,128
Maple Lake,IL,0.2,5/16/2019,1/11/2020,29,167
Deep Quarry Lake,IL,0.1,5/29/2019,11/5/2019,43,82
Round Lake,IL,1,5/14/2019,12/26/2019,82,168
Silver Lake,IL,0.2,5/16/2019,1/1/2020,37,87
Timber Lake,IL,0.3,5/14/2019,12/26/2019,50,170
Grays Lake,IL,0.3,5/13/2019,1/11/2020,60,163
Archibald Lake,WI,1.6,4/26/2016,5/7/2019,92,157
Axhandle Lake,WI,0.3,7/13/2015,10/5/2017,29,161
Bass Lake,WI,0.3,8/13/2015,10/20/2016,40,85
Bear Lake,WI,0.1,6/22/2017,11/3/2017,12,123
Big Twin Lake,WI,0.3,7/15/2016,5/4/2019,61,155
Clear Lake,WI,0.3,6/21/2017,11/30/2017,24,90
Crystal Lake,WI,0.1,7/14/2017,9/21/2017,10,64
Deep Lake,WI,0.1,6/17/2017,7/6/2017,3,220
Des Moines Lake,WI,0.9,4/18/2017,11/2/2017,28,175
Duck Lake,WI,0.5,7/5/2016,9/23/2019,82,225
Grindle Lake,WI,0.2,11/9/2015,8/10/2019,91,169
Horseshoe Lake,WI,1.6,8/18/2015,6/6/2019,72,244
Kentuck Lake,WI,4,7/5/2019,7/5/2019,1,151
Kilby Lake,WI,0.2,5/20/2017,10/1/2017,41,146
Lake Five,WI,0.4,5/23/2017,10/3/2017,19,166
Long Lake,WI,1.1,8/18/2015,8/19/2019,58,249
Loon Lake,WI,0.1,8/14/2015,10/20/2016,22,148
Mann Lake,WI,1,5/12/2018,5/12/2018,1,85
Moose Lake,WI,0.5,8/6/2016,9/29/2018,5,121
Parker Lake,WI,0.2,6/10/2017,9/16/2017,14,225
Paya Lake,WI,0.4,11/9/2015,9/20/2019,65,157
Phantom Lake,WI,0.2,8/19/2015,11/6/2015,16,86
Poplar Lake,WI,0.5,6/30/2018,9/11/2019,10,250
Sand Lake,WI,3.6,4/18/2017,7/26/2017,15,171
South Neva Lake,WI,0.1,8/30/2015,11/21/2016,24,240
Spur Lake,WI,0.5,7/29/2019,9/24/2019,13,126
