"Date,Time,ms,LEVEL,TEMPERATURE"
"9/12/2018,07:15:54 am,0,-0.160,18.70"
"9/12/2018,08:15:54 am,0,-0.071,18.70"
"9/12/2018,09:15:54 am,0,0.016,18.90"
"9/12/2018,10:15:54 am,0,0.059,19.10"
"9/12/2018,11:15:54 am,0,0.169,19.80"
"9/12/2018,12:15:54 pm,0,0.166,20.40"
"9/12/2018,01:15:54 pm,0,0.173,21.00"
"9/12/2018,02:15:54 pm,0,0.150,20.80"
"9/12/2018,03:15:54 pm,0,0.160,20.60"
"9/12/2018,04:15:54 pm,0,0.163,19.90"
"9/12/2018,05:15:54 pm,0,0.164,19.30"
"9/12/2018,06:15:54 pm,0,0.165,19.00"
"9/12/2018,07:15:54 pm,0,0.165,18.70"
"9/12/2018,08:15:54 pm,0,0.166,18.70"
"9/12/2018,09:15:54 pm,0,0.164,18.70"
"9/12/2018,10:15:54 pm,0,0.161,18.70"
"9/12/2018,11:15:54 pm,0,0.164,18.60"
"9/13/2018,12:15:54 am,0,0.164,18.50"
"9/13/2018,01:15:54 am,0,0.165,18.50"
"9/13/2018,02:15:54 am,0,0.164,18.50"
"9/13/2018,03:15:54 am,0,0.162,18.40"
"9/13/2018,04:15:54 am,0,0.161,18.30"
"9/13/2018,05:15:54 am,0,0.164,18.40"
"9/13/2018,06:15:54 am,0,0.164,18.30"
"9/13/2018,07:15:54 am,0,0.165,18.20"
"9/13/2018,08:15:54 am,0,0.163,18.30"
"9/13/2018,09:15:54 am,0,0.164,18.50"
"9/13/2018,10:15:54 am,0,0.162,18.70"
"9/13/2018,11:15:54 am,0,0.162,18.90"
"9/13/2018,12:15:54 pm,0,0.158,19.40"
"9/13/2018,01:15:54 pm,0,0.159,19.30"
"9/13/2018,02:15:54 pm,0,0.155,19.80"
"9/13/2018,03:15:54 pm,0,0.154,20.10"
"9/13/2018,04:15:54 pm,0,0.154,19.70"
"9/13/2018,05:15:54 pm,0,0.153,19.40"
"9/13/2018,06:15:54 pm,0,0.162,18.90"
"9/13/2018,07:15:54 pm,0,0.165,18.70"
"9/13/2018,08:15:54 pm,0,0.169,18.70"
"9/13/2018,09:15:54 pm,0,0.170,18.70"
"9/13/2018,10:15:54 pm,0,0.171,18.60"
"9/13/2018,11:15:54 pm,0,0.165,18.50"
"9/14/2018,12:15:54 am,0,0.168,18.50"
"9/14/2018,01:15:54 am,0,0.166,18.40"
"9/14/2018,02:15:54 am,0,0.167,18.40"
"9/14/2018,03:15:54 am,0,0.167,18.30"
"9/14/2018,04:15:54 am,0,0.169,18.30"
"9/14/2018,05:15:54 am,0,0.168,18.30"
"9/14/2018,06:15:54 am,0,0.166,18.20"
"9/14/2018,07:15:54 am,0,0.173,18.10"
"9/14/2018,08:15:54 am,0,0.175,18.10"
"9/14/2018,09:15:54 am,0,0.176,18.20"
"9/14/2018,10:15:54 am,0,0.173,18.30"
"9/14/2018,11:15:54 am,0,0.171,18.70"
"9/14/2018,12:15:54 pm,0,0.171,18.80"
"9/14/2018,01:15:54 pm,0,0.168,19.20"
"9/14/2018,02:15:54 pm,0,0.167,19.70"
"9/14/2018,03:15:54 pm,0,0.165,19.90"
"9/14/2018,04:15:54 pm,0,0.165,19.80"
"9/14/2018,05:15:54 pm,0,0.168,19.60"
"9/14/2018,06:15:54 pm,0,0.170,19.30"
"9/14/2018,07:15:54 pm,0,0.172,18.90"
"9/14/2018,08:15:54 pm,0,0.178,18.60"
"9/14/2018,09:15:54 pm,0,0.177,18.50"
"9/14/2018,10:15:54 pm,0,0.172,18.40"
"9/14/2018,11:15:54 pm,0,0.173,18.30"
"9/15/2018,12:15:54 am,0,0.171,18.20"
"9/15/2018,01:15:54 am,0,0.172,18.00"
"9/15/2018,02:15:54 am,0,0.173,18.10"
"9/15/2018,03:15:54 am,0,0.172,18.10"
"9/15/2018,04:15:54 am,0,0.172,18.00"
"9/15/2018,05:15:54 am,0,0.173,18.00"
"9/15/2018,06:15:54 am,0,0.174,18.00"
"9/15/2018,07:15:54 am,0,0.173,17.90"
"9/15/2018,08:15:54 am,0,0.173,18.00"
"9/15/2018,09:15:54 am,0,0.169,18.10"
"9/15/2018,10:15:54 am,0,0.172,18.20"
"9/15/2018,11:15:54 am,0,0.171,18.20"
"9/15/2018,12:15:54 pm,0,0.168,18.30"
"9/15/2018,01:15:54 pm,0,0.166,18.50"
"9/15/2018,02:15:54 pm,0,0.168,18.60"
"9/15/2018,03:15:54 pm,0,0.167,18.70"
"9/15/2018,04:15:54 pm,0,0.172,18.80"
"9/15/2018,05:15:54 pm,0,0.171,18.80"
"9/15/2018,06:15:54 pm,0,0.176,18.50"
"9/15/2018,07:15:54 pm,0,0.175,18.30"
"9/15/2018,08:15:54 pm,0,0.176,18.00"
"9/15/2018,09:15:54 pm,0,0.175,18.00"
"9/15/2018,10:15:54 pm,0,0.172,18.00"
"9/15/2018,11:15:54 pm,0,0.172,18.00"
"9/16/2018,12:15:54 am,0,0.170,17.90"
"9/16/2018,01:15:54 am,0,0.174,17.90"
"9/16/2018,02:15:54 am,0,0.167,17.90"
"9/16/2018,03:15:54 am,0,0.166,17.80"
"9/16/2018,04:15:54 am,0,0.171,17.80"
"9/16/2018,05:15:54 am,0,0.167,17.70"
"9/16/2018,06:15:54 am,0,0.171,17.60"
"9/16/2018,07:15:54 am,0,0.185,17.60"
"9/16/2018,08:15:54 am,0,0.183,17.60"
"9/16/2018,09:15:54 am,0,0.183,17.60"
"9/16/2018,10:15:54 am,0,0.189,17.60"
"9/16/2018,11:15:54 am,0,0.184,18.00"
"9/16/2018,12:15:54 pm,0,0.180,18.80"
"9/16/2018,01:15:54 pm,0,0.182,18.60"
"9/16/2018,02:15:54 pm,0,0.189,18.50"
"9/16/2018,03:15:54 pm,0,0.181,18.50"
"9/16/2018,04:15:54 pm,0,0.181,18.40"
"9/16/2018,05:15:54 pm,0,0.186,18.20"
"9/16/2018,06:15:54 pm,0,0.185,18.00"
"9/16/2018,07:15:54 pm,0,0.183,17.90"
"9/16/2018,08:15:54 pm,0,0.183,17.60"
"9/16/2018,09:15:54 pm,0,0.182,17.60"
"9/16/2018,10:15:54 pm,0,0.180,17.50"
"9/16/2018,11:15:54 pm,0,0.181,17.50"
