"Date,Time,ms,LEVEL,TEMPERATURE"
"9/12/2018,10:00:00 am,0,-0.071,17.50"
"9/12/2018,11:00:00 am,0,-0.035,19.60"
"9/12/2018,12:00:00 pm,0,0.221,19.00"
"9/12/2018,01:00:00 pm,0,0.229,19.10"
"9/12/2018,02:00:00 pm,0,0.217,19.40"
"9/12/2018,03:00:00 pm,0,0.223,19.70"
"9/12/2018,04:00:00 pm,0,0.224,19.70"
"9/12/2018,05:00:00 pm,0,0.225,19.90"
"9/12/2018,06:00:00 pm,0,0.226,19.80"
"9/12/2018,07:00:00 pm,0,0.225,19.60"
"9/12/2018,08:00:00 pm,0,0.223,19.40"
"9/12/2018,09:00:00 pm,0,0.221,19.10"
"9/12/2018,10:00:00 pm,0,0.224,19.20"
"9/12/2018,11:00:00 pm,0,0.224,19.10"
"9/13/2018,12:00:00 am,0,0.224,19.00"
"9/13/2018,01:00:00 am,0,0.223,18.90"
"9/13/2018,02:00:00 am,0,0.224,18.80"
"9/13/2018,03:00:00 am,0,0.222,18.70"
"9/13/2018,04:00:00 am,0,0.224,18.70"
"9/13/2018,05:00:00 am,0,0.224,18.60"
"9/13/2018,06:00:00 am,0,0.223,18.50"
"9/13/2018,07:00:00 am,0,0.223,18.40"
"9/13/2018,08:00:00 am,0,0.223,18.50"
"9/13/2018,09:00:00 am,0,0.222,18.50"
"9/13/2018,10:00:00 am,0,0.222,18.60"
"9/13/2018,11:00:00 am,0,0.221,18.70"
"9/13/2018,12:00:00 pm,0,0.223,19.00"
"9/13/2018,01:00:00 pm,0,0.224,18.90"
"9/13/2018,02:00:00 pm,0,0.224,19.00"
"9/13/2018,03:00:00 pm,0,0.228,18.80"
"9/13/2018,04:00:00 pm,0,0.229,18.80"
"9/13/2018,05:00:00 pm,0,0.230,18.70"
"9/13/2018,06:00:00 pm,0,0.231,18.70"
"9/13/2018,07:00:00 pm,0,0.230,18.60"
"9/13/2018,08:00:00 pm,0,0.228,18.50"
"9/13/2018,09:00:00 pm,0,0.231,18.40"
"9/13/2018,10:00:00 pm,0,0.230,18.40"
"9/13/2018,11:00:00 pm,0,0.231,18.40"
"9/14/2018,12:00:00 am,0,0.231,18.30"
"9/14/2018,01:00:00 am,0,0.235,18.40"
"9/14/2018,02:00:00 am,0,0.236,18.20"
"9/14/2018,03:00:00 am,0,0.239,18.30"
"9/14/2018,04:00:00 am,0,0.241,18.20"
"9/14/2018,05:00:00 am,0,0.240,18.20"
"9/14/2018,06:00:00 am,0,0.241,18.20"
"9/14/2018,07:00:00 am,0,0.243,18.20"
"9/14/2018,08:00:00 am,0,0.244,18.10"
"9/14/2018,09:00:00 am,0,0.248,18.20"
"9/14/2018,10:00:00 am,0,0.245,18.10"
"9/14/2018,11:00:00 am,0,0.250,18.10"
"9/14/2018,12:00:00 pm,0,0.253,18.20"
"9/14/2018,01:00:00 pm,0,0.255,18.60"
"9/14/2018,02:00:00 pm,0,0.256,18.80"
"9/14/2018,03:00:00 pm,0,0.256,19.00"
"9/14/2018,04:00:00 pm,0,0.256,19.20"
"9/14/2018,05:00:00 pm,0,0.256,19.10"
"9/14/2018,06:00:00 pm,0,0.256,19.00"
"9/14/2018,07:00:00 pm,0,0.256,18.90"
"9/14/2018,08:00:00 pm,0,0.257,18.70"
"9/14/2018,09:00:00 pm,0,0.256,18.50"
"9/14/2018,10:00:00 pm,0,0.259,18.40"
"9/14/2018,11:00:00 pm,0,0.257,18.40"
"9/15/2018,12:00:00 am,0,0.256,18.30"
"9/15/2018,01:00:00 am,0,0.257,18.30"
"9/15/2018,02:00:00 am,0,0.258,18.30"
"9/15/2018,03:00:00 am,0,0.259,18.20"
"9/15/2018,04:00:00 am,0,0.259,18.10"
"9/15/2018,05:00:00 am,0,0.259,18.10"
"9/15/2018,06:00:00 am,0,0.258,18.10"
"9/15/2018,07:00:00 am,0,0.257,18.00"
"9/15/2018,08:00:00 am,0,0.258,18.00"
"9/15/2018,09:00:00 am,0,0.258,18.10"
"9/15/2018,10:00:00 am,0,0.258,18.20"
"9/15/2018,11:00:00 am,0,0.257,18.20"
"9/15/2018,12:00:00 pm,0,0.261,18.30"
"9/15/2018,01:00:00 pm,0,0.261,18.30"
"9/15/2018,02:00:00 pm,0,0.264,18.40"
"9/15/2018,03:00:00 pm,0,0.262,18.70"
"9/15/2018,04:00:00 pm,0,0.263,18.70"
"9/15/2018,05:00:00 pm,0,0.260,18.60"
"9/15/2018,06:00:00 pm,0,0.260,18.50"
"9/15/2018,07:00:00 pm,0,0.264,18.40"
"9/15/2018,08:00:00 pm,0,0.262,18.10"
"9/15/2018,09:00:00 pm,0,0.264,18.10"
"9/15/2018,10:00:00 pm,0,0.263,18.00"
"9/15/2018,11:00:00 pm,0,0.263,17.90"
"9/16/2018,12:00:00 am,0,0.265,17.90"
"9/16/2018,01:00:00 am,0,0.264,17.90"
"9/16/2018,02:00:00 am,0,0.264,17.80"
"9/16/2018,03:00:00 am,0,0.265,17.80"
"9/16/2018,04:00:00 am,0,0.264,17.80"
"9/16/2018,05:00:00 am,0,0.265,17.80"
"9/16/2018,06:00:00 am,0,0.267,17.70"
"9/16/2018,07:00:00 am,0,0.268,17.60"
