"Date,Time,ms,LEVEL,TEMPERATURE"
"9/12/2018,10:00:00 am,0,-0.029,17.70"
"9/12/2018,11:00:00 am,0,0.244,18.30"
"9/12/2018,12:00:00 pm,0,0.244,18.80"
"9/12/2018,01:00:00 pm,0,0.247,19.20"
"9/12/2018,02:00:00 pm,0,0.233,20.10"
"9/12/2018,03:00:00 pm,0,0.243,20.80"
"9/12/2018,04:00:00 pm,0,0.244,20.90"
"9/12/2018,05:00:00 pm,0,0.242,19.10"
"9/12/2018,06:00:00 pm,0,0.240,18.80"
"9/12/2018,07:00:00 pm,0,0.240,18.50"
"9/12/2018,08:00:00 pm,0,0.240,18.20"
"9/12/2018,09:00:00 pm,0,0.241,18.10"
"9/12/2018,10:00:00 pm,0,0.245,18.20"
"9/12/2018,11:00:00 pm,0,0.245,18.20"
"9/13/2018,12:00:00 am,0,0.247,18.20"
"9/13/2018,01:00:00 am,0,0.246,18.10"
"9/13/2018,02:00:00 am,0,0.245,18.00"
"9/13/2018,03:00:00 am,0,0.243,18.00"
"9/13/2018,04:00:00 am,0,0.245,18.00"
"9/13/2018,05:00:00 am,0,0.245,17.90"
"9/13/2018,06:00:00 am,0,0.244,17.90"
"9/13/2018,07:00:00 am,0,0.245,17.90"
"9/13/2018,08:00:00 am,0,0.244,18.00"
"9/13/2018,09:00:00 am,0,0.241,18.00"
"9/13/2018,10:00:00 am,0,0.240,18.50"
"9/13/2018,11:00:00 am,0,0.242,18.80"
"9/13/2018,12:00:00 pm,0,0.247,18.70"
"9/13/2018,01:00:00 pm,0,0.252,18.50"
"9/13/2018,02:00:00 pm,0,0.269,17.60"
"9/13/2018,03:00:00 pm,0,0.271,17.50"
"9/13/2018,04:00:00 pm,0,0.280,17.50"
"9/13/2018,05:00:00 pm,0,0.276,17.40"
"9/13/2018,06:00:00 pm,0,0.279,17.50"
"9/13/2018,07:00:00 pm,0,0.276,17.40"
"9/13/2018,08:00:00 pm,0,0.276,17.40"
"9/13/2018,09:00:00 pm,0,0.280,17.20"
"9/13/2018,10:00:00 pm,0,0.278,17.20"
"9/13/2018,11:00:00 pm,0,0.276,17.20"
"9/14/2018,12:00:00 am,0,0.279,17.30"
"9/14/2018,01:00:00 am,0,0.281,17.20"
"9/14/2018,02:00:00 am,0,0.278,17.30"
"9/14/2018,03:00:00 am,0,0.279,17.20"
"9/14/2018,04:00:00 am,0,0.281,17.20"
"9/14/2018,05:00:00 am,0,0.279,17.10"
"9/14/2018,06:00:00 am,0,0.280,17.00"
"9/14/2018,07:00:00 am,0,0.283,17.10"
"9/14/2018,08:00:00 am,0,0.283,16.90"
"9/14/2018,09:00:00 am,0,0.286,16.80"
"9/14/2018,10:00:00 am,0,0.286,17.00"
"9/14/2018,11:00:00 am,0,0.289,17.00"
"9/14/2018,12:00:00 pm,0,0.295,17.10"
"9/14/2018,01:00:00 pm,0,0.292,17.50"
"9/14/2018,02:00:00 pm,0,0.289,18.50"
"9/14/2018,03:00:00 pm,0,0.292,18.60"
"9/14/2018,04:00:00 pm,0,0.289,19.20"
"9/14/2018,05:00:00 pm,0,0.292,19.00"
"9/14/2018,06:00:00 pm,0,0.290,19.10"
"9/14/2018,07:00:00 pm,0,0.292,18.70"
"9/14/2018,08:00:00 pm,0,0.288,18.00"
"9/14/2018,09:00:00 pm,0,0.287,17.50"
"9/14/2018,10:00:00 pm,0,0.290,17.40"
"9/14/2018,11:00:00 pm,0,0.290,17.40"
"9/15/2018,12:00:00 am,0,0.292,17.20"
"9/15/2018,01:00:00 am,0,0.293,17.10"
"9/15/2018,02:00:00 am,0,0.294,17.00"
"9/15/2018,03:00:00 am,0,0.293,16.80"
"9/15/2018,04:00:00 am,0,0.293,16.60"
"9/15/2018,05:00:00 am,0,0.293,16.60"
"9/15/2018,06:00:00 am,0,0.294,16.60"
"9/15/2018,07:00:00 am,0,0.293,16.60"
"9/15/2018,08:00:00 am,0,0.290,16.80"
"9/15/2018,09:00:00 am,0,0.291,17.20"
"9/15/2018,10:00:00 am,0,0.289,17.50"
"9/15/2018,11:00:00 am,0,0.291,17.50"
"9/15/2018,12:00:00 pm,0,0.288,17.60"
"9/15/2018,01:00:00 pm,0,0.289,17.50"
"9/15/2018,02:00:00 pm,0,0.291,17.50"
"9/15/2018,03:00:00 pm,0,0.290,18.10"
"9/15/2018,04:00:00 pm,0,0.291,18.30"
"9/15/2018,05:00:00 pm,0,0.288,18.40"
"9/15/2018,06:00:00 pm,0,0.290,18.10"
"9/15/2018,07:00:00 pm,0,0.292,17.70"
"9/15/2018,08:00:00 pm,0,0.298,17.40"
"9/15/2018,09:00:00 pm,0,0.300,17.20"
"9/15/2018,10:00:00 pm,0,0.299,17.10"
"9/15/2018,11:00:00 pm,0,0.299,16.90"
"9/16/2018,12:00:00 am,0,0.299,16.70"
"9/16/2018,01:00:00 am,0,0.297,16.70"
"9/16/2018,02:00:00 am,0,0.297,16.70"
"9/16/2018,03:00:00 am,0,0.296,16.50"
"9/16/2018,04:00:00 am,0,0.295,16.70"
"9/16/2018,05:00:00 am,0,0.299,16.60"
"9/16/2018,06:00:00 am,0,0.301,16.70"
"9/16/2018,07:00:00 am,0,0.299,16.60"
"9/16/2018,08:00:00 am,0,0.295,16.60"
"9/16/2018,09:00:00 am,0,0.299,16.60"
"9/16/2018,10:00:00 am,0,0.303,16.80"
"9/16/2018,11:00:00 am,0,0.296,17.00"
"9/16/2018,12:00:00 pm,0,0.295,17.60"
"9/16/2018,01:00:00 pm,0,0.291,17.90"
"9/16/2018,02:00:00 pm,0,0.301,17.90"
"9/16/2018,03:00:00 pm,0,0.297,18.00"
"9/16/2018,04:00:00 pm,0,0.297,18.00"
"9/16/2018,05:00:00 pm,0,0.302,17.80"
"9/16/2018,06:00:00 pm,0,0.303,17.50"
"9/16/2018,07:00:00 pm,0,0.304,17.30"
"9/16/2018,08:00:00 pm,0,0.304,17.00"
"9/16/2018,09:00:00 pm,0,0.303,16.80"
"9/16/2018,10:00:00 pm,0,0.304,16.60"
"9/16/2018,11:00:00 pm,0,0.306,16.50"
"9/17/2018,12:00:00 am,0,0.307,16.40"
"9/17/2018,01:00:00 am,0,0.305,16.30"
"9/17/2018,02:00:00 am,0,0.305,16.20"
"9/17/2018,03:00:00 am,0,0.307,16.20"
"9/17/2018,04:00:00 am,0,0.308,16.10"
"9/17/2018,05:00:00 am,0,0.307,16.00"
"9/17/2018,06:00:00 am,0,0.304,15.90"
"9/17/2018,07:00:00 am,0,0.305,16.10"
"9/17/2018,08:00:00 am,0,0.303,16.30"
"9/17/2018,09:00:00 am,0,0.303,16.40"
"9/17/2018,10:00:00 am,0,0.307,16.60"
"9/17/2018,11:00:00 am,0,0.307,17.30"
"9/17/2018,12:00:00 pm,0,0.313,18.10"
"9/17/2018,01:00:00 pm,0,0.310,19.60"
"9/17/2018,02:00:00 pm,0,0.309,19.70"
"9/17/2018,03:00:00 pm,0,0.305,19.90"
"9/17/2018,04:00:00 pm,0,0.304,19.70"
"9/17/2018,05:00:00 pm,0,0.308,19.20"
