Date,Time,ms,LEVEL,TEMPERATURE
5/16/2019,9:00:19 AM,0,0.046,21.8
5/16/2019,10:00:19 AM,0,0.049,21.3
5/16/2019,11:00:19 AM,0,0.727,16.8
5/16/2019,12:00:19 PM,0,0.766,16.9
5/16/2019,1:00:19 PM,0,0.695,17
5/16/2019,2:00:19 PM,0,0.645,17
5/16/2019,3:00:19 PM,0,0.707,17.1
5/16/2019,4:00:19 PM,0,0.756,17.2
5/16/2019,5:00:19 PM,0,0.715,17.4
5/16/2019,6:00:19 PM,0,0.719,17.4
5/16/2019,7:00:19 PM,0,0.719,17.4
5/16/2019,8:00:19 PM,0,0.754,17.3
5/16/2019,9:00:19 PM,0,0.733,17.3
5/16/2019,10:00:19 PM,0,0.743,17.5
5/16/2019,11:00:19 PM,0,0.706,17.4
5/17/2019,12:00:19 AM,0,0.723,17.4
5/17/2019,1:00:19 AM,0,0.745,17.4
5/17/2019,2:00:19 AM,0,0.742,17.4
5/17/2019,3:00:19 AM,0,0.742,17.4
5/17/2019,4:00:19 AM,0,0.746,17.3
5/17/2019,5:00:19 AM,0,0.715,17
5/17/2019,6:00:19 AM,0,0.733,16.9
5/17/2019,7:00:19 AM,0,0.722,16.5
5/17/2019,8:00:19 AM,0,0.73,16.3
5/17/2019,9:00:19 AM,0,0.734,16
5/17/2019,10:00:19 AM,0,0.733,15.8
5/17/2019,11:00:19 AM,0,0.758,15.9
5/17/2019,12:00:19 PM,0,0.716,15.9
5/17/2019,1:00:19 PM,0,0.726,15.8
5/17/2019,2:00:19 PM,0,0.697,15.8
5/17/2019,3:00:19 PM,0,0.692,15.7
5/17/2019,4:00:19 PM,0,0.717,15.8
5/17/2019,5:00:19 PM,0,0.736,16.2
5/17/2019,6:00:19 PM,0,0.71,16.4
5/17/2019,7:00:19 PM,0,0.721,16.5
5/17/2019,8:00:19 PM,0,0.709,16.3
5/17/2019,9:00:19 PM,0,0.717,16.1
5/17/2019,10:00:19 PM,0,0.708,15.8
5/17/2019,11:00:19 PM,0,0.697,15.5
5/18/2019,12:00:19 AM,0,0.711,15.4
5/18/2019,1:00:19 AM,0,0.722,15.4
5/18/2019,2:00:19 AM,0,0.704,15.2
5/18/2019,3:00:19 AM,0,0.73,15.1
5/18/2019,4:00:19 AM,0,0.692,15
5/18/2019,5:00:19 AM,0,0.702,14.6
5/18/2019,6:00:19 AM,0,0.707,14.6
5/18/2019,7:00:19 AM,0,0.721,14.5
5/18/2019,8:00:19 AM,0,0.717,14.5
5/18/2019,9:00:19 AM,0,0.703,14.4
5/18/2019,10:00:19 AM,0,0.689,14.4
