Date,Time,ms,LEVEL,TEMPERATURE
5/15/2019,9:00:19 AM,0,-0.007,18.7
5/15/2019,10:00:19 AM,0,0.026,18.6
5/15/2019,11:00:19 AM,0,0.029,23.7
5/15/2019,12:00:19 PM,0,0.03,27.6
5/15/2019,1:00:19 PM,0,-0.016,41.1
5/15/2019,2:00:19 PM,0,0.011,35.2
5/15/2019,3:00:19 PM,0,0.621,30.7
5/15/2019,4:00:19 PM,0,0.602,20.8
5/15/2019,5:00:19 PM,0,0.597,21.1
5/15/2019,6:00:19 PM,0,0.599,21.3
5/15/2019,7:00:19 PM,0,0.605,21.5
5/15/2019,8:00:19 PM,0,0.606,21.5
5/15/2019,9:00:19 PM,0,0.609,21.3
5/15/2019,10:00:19 PM,0,0.599,20.7
5/15/2019,11:00:19 PM,0,0.592,20.4
5/16/2019,12:00:19 AM,0,0.601,20.2
5/16/2019,1:00:19 AM,0,0.584,20
5/16/2019,2:00:19 AM,0,0.591,19.8
5/16/2019,3:00:19 AM,0,0.596,19.5
5/16/2019,4:00:19 AM,0,0.583,19.3
5/16/2019,5:00:19 AM,0,0.586,18.9
5/16/2019,6:00:19 AM,0,0.587,18.7
5/16/2019,7:00:19 AM,0,0.576,18.5
5/16/2019,8:00:19 AM,0,0.58,18.3
5/16/2019,9:00:19 AM,0,0.58,18.3
5/16/2019,10:00:19 AM,0,0.568,18.4
5/16/2019,11:00:19 AM,0,0.595,18.3
5/16/2019,12:00:19 PM,0,0.631,18.2
5/16/2019,1:00:19 PM,0,0.563,18.1
5/16/2019,2:00:19 PM,0,0.51,17.6
5/16/2019,3:00:19 PM,0,0.572,17.8
5/16/2019,4:00:19 PM,0,0.631,18.3
5/16/2019,5:00:19 PM,0,0.589,19.3
5/16/2019,6:00:19 PM,0,0.593,19.5
5/16/2019,7:00:19 PM,0,0.596,19.7
5/16/2019,8:00:19 PM,0,0.619,19.8
5/16/2019,9:00:19 PM,0,0.608,19
5/16/2019,10:00:19 PM,0,0.611,18.6
5/16/2019,11:00:19 PM,0,0.574,18.4
5/17/2019,12:00:19 AM,0,0.591,18.1
5/17/2019,1:00:19 AM,0,0.616,18
5/17/2019,2:00:19 AM,0,0.607,17.9
5/17/2019,3:00:19 AM,0,0.622,17.9
5/17/2019,4:00:19 AM,0,0.62,18
5/17/2019,5:00:19 AM,0,0.586,17.1
5/17/2019,6:00:19 AM,0,0.601,16.8
5/17/2019,7:00:19 AM,0,0.599,16.9
5/17/2019,8:00:19 AM,0,0.604,16.8
5/17/2019,9:00:19 AM,0,0.596,16.7
5/17/2019,10:00:19 AM,0,0.61,16.7
5/17/2019,11:00:19 AM,0,0.632,16.6
5/17/2019,12:00:19 PM,0,0.59,16.5
5/17/2019,1:00:19 PM,0,0.597,16.5
5/17/2019,2:00:19 PM,0,0.562,16.6
5/17/2019,3:00:19 PM,0,0.566,16.8
5/17/2019,4:00:19 PM,0,0.588,17.1
5/17/2019,5:00:19 PM,0,0.601,17.4
5/17/2019,6:00:19 PM,0,0.572,17.2
5/17/2019,7:00:19 PM,0,0.586,17.1
5/17/2019,8:00:19 PM,0,0.577,17
5/17/2019,9:00:19 PM,0,0.585,16.8
5/17/2019,10:00:19 PM,0,0.576,16.7
5/17/2019,11:00:19 PM,0,0.565,16.5
5/18/2019,12:00:19 AM,0,0.579,16.2
5/18/2019,1:00:19 AM,0,0.59,16
5/18/2019,2:00:19 AM,0,0.569,15.8
5/18/2019,3:00:19 AM,0,0.592,15.6
5/18/2019,4:00:19 AM,0,0.56,15.4
5/18/2019,5:00:19 AM,0,0.573,15.2
5/18/2019,6:00:19 AM,0,0.572,15
5/18/2019,7:00:19 AM,0,0.586,14.8
