"Date,Time,ms,LEVEL,TEMPERATURE"
"5/13/2019,04:19:26 pm,0,-0.010,26.90"
"5/13/2019,05:19:26 pm,0,0.292,15.50"
"5/13/2019,06:19:26 pm,0,0.294,15.60"
"5/13/2019,07:19:26 pm,0,0.286,15.40"
"5/13/2019,08:19:26 pm,0,0.288,15.00"
"5/13/2019,09:19:26 pm,0,0.292,14.70"
"5/13/2019,10:19:26 pm,0,0.294,14.50"
"5/13/2019,11:19:26 pm,0,0.297,14.30"
"5/14/2019,12:19:26 am,0,0.297,14.10"
"5/14/2019,01:19:26 am,0,0.299,13.90"
"5/14/2019,02:19:26 am,0,0.297,13.70"
"5/14/2019,03:19:26 am,0,0.299,13.60"
"5/14/2019,04:19:26 am,0,0.302,13.50"
"5/14/2019,05:19:26 am,0,0.298,13.30"
"5/14/2019,06:19:26 am,0,0.299,13.30"
"5/14/2019,07:19:26 am,0,0.301,13.20"
"5/14/2019,08:19:26 am,0,0.293,13.30"
"5/14/2019,09:19:26 am,0,0.293,13.60"
"5/14/2019,10:19:26 am,0,0.292,14.00"
"5/14/2019,11:19:26 am,0,0.298,15.00"
"5/14/2019,12:19:26 pm,0,0.293,15.50"
"5/14/2019,01:19:26 pm,0,0.284,17.00"
"5/14/2019,02:19:26 pm,0,0.284,17.70"
"5/14/2019,03:19:26 pm,0,0.281,17.90"
"5/14/2019,04:19:26 pm,0,0.280,17.90"
"5/14/2019,05:19:26 pm,0,0.274,17.70"
"5/14/2019,06:19:26 pm,0,0.278,17.30"
"5/14/2019,07:19:26 pm,0,0.278,17.10"
"5/14/2019,08:19:26 pm,0,0.278,16.70"
"5/14/2019,09:19:26 pm,0,0.282,16.40"
"5/14/2019,10:19:26 pm,0,0.280,16.20"
"5/14/2019,11:19:26 pm,0,0.274,15.90"
"5/15/2019,12:19:26 am,0,0.275,15.70"
"5/15/2019,01:19:26 am,0,0.275,15.50"
"5/15/2019,02:19:26 am,0,0.274,15.30"
"5/15/2019,03:19:26 am,0,0.272,15.20"
"5/15/2019,04:19:26 am,0,0.277,15.00"
"5/15/2019,05:19:26 am,0,0.279,14.80"
"5/15/2019,06:19:26 am,0,0.285,14.70"
"5/15/2019,07:19:26 am,0,0.283,14.70"
"5/15/2019,08:19:26 am,0,0.276,14.60"
"5/15/2019,09:19:26 am,0,0.284,15.20"
"5/15/2019,10:19:26 am,0,0.284,15.40"
"5/15/2019,11:19:26 am,0,0.288,16.10"
"5/15/2019,12:19:26 pm,0,0.278,16.90"
"5/15/2019,01:19:26 pm,0,0.280,18.30"
"5/15/2019,02:19:26 pm,0,0.278,18.70"
"5/15/2019,03:19:26 pm,0,0.280,18.30"
"5/15/2019,04:19:26 pm,0,0.276,18.20"
"5/15/2019,05:19:26 pm,0,0.275,18.30"
"5/15/2019,06:19:26 pm,0,0.275,18.20"
"5/15/2019,07:19:26 pm,0,0.281,18.70"
"5/15/2019,08:19:26 pm,0,0.273,18.70"
"5/15/2019,09:19:26 pm,0,0.271,18.50"
"5/15/2019,10:19:26 pm,0,0.266,18.20"
"5/15/2019,11:19:26 pm,0,0.269,18.10"
"5/16/2019,12:19:26 am,0,0.263,17.80"
"5/16/2019,01:19:26 am,0,0.265,17.60"
"5/16/2019,02:19:26 am,0,0.265,17.40"
"5/16/2019,03:19:26 am,0,0.262,17.20"
"5/16/2019,04:19:26 am,0,0.264,17.10"
"5/16/2019,05:19:26 am,0,0.267,17.00"
"5/16/2019,06:19:26 am,0,0.261,16.80"
"5/16/2019,07:19:26 am,0,0.256,16.70"
"5/16/2019,08:19:26 am,0,0.257,16.70"
"5/16/2019,09:19:26 am,0,0.265,17.00"
"5/16/2019,10:19:26 am,0,0.269,17.20"
"5/16/2019,11:19:26 am,0,0.268,17.30"
"5/16/2019,12:19:26 pm,0,0.263,17.20"
"5/16/2019,01:19:26 pm,0,0.234,17.00"
"5/16/2019,02:19:26 pm,0,0.264,17.10"
"5/16/2019,03:19:26 pm,0,0.282,17.40"
"5/16/2019,04:19:26 pm,0,0.274,17.70"
"5/16/2019,05:19:26 pm,0,0.277,17.60"
"5/16/2019,06:19:26 pm,0,0.275,18.20"
"5/16/2019,07:19:26 pm,0,0.281,18.10"
"5/16/2019,08:19:26 pm,0,0.277,18.20"
"5/16/2019,09:19:26 pm,0,0.275,18.40"
"5/16/2019,10:19:26 pm,0,0.265,18.40"
"5/16/2019,11:19:26 pm,0,0.268,18.30"
"5/17/2019,12:19:26 am,0,0.277,18.20"
"5/17/2019,01:19:26 am,0,0.275,18.10"
"5/17/2019,02:19:26 am,0,0.273,18.00"
"5/17/2019,03:19:26 am,0,0.289,17.80"
"5/17/2019,04:19:26 am,0,0.264,17.50"
"5/17/2019,05:19:26 am,0,0.265,17.10"
"5/17/2019,06:19:26 am,0,0.268,17.00"
"5/17/2019,07:19:26 am,0,0.273,16.80"
"5/17/2019,08:19:26 am,0,0.272,16.60"
"5/17/2019,09:19:26 am,0,0.271,16.30"
"5/17/2019,10:19:26 am,0,0.278,16.20"
"5/17/2019,11:19:26 am,0,0.265,16.20"
"5/17/2019,12:19:26 pm,0,0.264,16.10"
"5/17/2019,01:19:26 pm,0,0.264,16.10"
"5/17/2019,02:19:26 pm,0,0.257,16.10"
"5/17/2019,03:19:26 pm,0,0.263,16.10"
"5/17/2019,04:19:26 pm,0,0.269,16.50"
"5/17/2019,05:19:26 pm,0,0.253,16.80"
"5/17/2019,06:19:26 pm,0,0.258,16.70"
"5/17/2019,07:19:26 pm,0,0.250,16.40"
"5/17/2019,08:19:26 pm,0,0.263,16.20"
"5/17/2019,09:19:26 pm,0,0.261,15.70"
"5/17/2019,10:19:26 pm,0,0.256,15.40"
"5/17/2019,11:19:26 pm,0,0.259,15.10"
"5/18/2019,12:19:26 am,0,0.260,15.10"
"5/18/2019,01:19:26 am,0,0.259,14.90"
"5/18/2019,02:19:26 am,0,0.263,14.60"
"5/18/2019,03:19:26 am,0,0.253,14.70"
"5/18/2019,04:19:26 am,0,0.256,14.50"
"5/18/2019,05:19:26 am,0,0.258,14.50"
"5/18/2019,06:19:26 am,0,0.259,14.30"
"5/18/2019,07:19:26 am,0,0.259,14.30"
"5/18/2019,08:19:26 am,0,0.253,14.40"
"5/18/2019,09:19:26 am,0,0.246,14.50"
