Date,Time,ms,LEVEL,TEMPERATURE
5/15/2019,9:00:19 AM,0,0.023,19.4
5/15/2019,10:00:19 AM,0,0.053,18.9
5/15/2019,11:00:19 AM,0,0.044,24.4
5/15/2019,12:00:19 PM,0,0.048,27.1
5/15/2019,1:00:19 PM,0,0.017,38.5
5/15/2019,2:00:19 PM,0,0.035,34.6
5/15/2019,3:00:19 PM,0,0.025,40.3
5/15/2019,4:00:19 PM,0,-0.003,34.8
5/15/2019,5:00:19 PM,0,0.004,32.5
5/15/2019,6:00:19 PM,0,0.698,20.1
5/15/2019,7:00:19 PM,0,0.704,20.5
5/15/2019,8:00:19 PM,0,0.705,20.4
5/15/2019,9:00:19 PM,0,0.705,20.1
5/15/2019,10:00:19 PM,0,0.698,19.7
5/15/2019,11:00:19 PM,0,0.691,18.3
5/16/2019,12:00:19 AM,0,0.697,17.3
5/16/2019,1:00:19 AM,0,0.683,17.6
5/16/2019,2:00:19 AM,0,0.69,18.6
5/16/2019,3:00:19 AM,0,0.695,18.5
5/16/2019,4:00:19 AM,0,0.682,18.4
5/16/2019,5:00:19 AM,0,0.685,18.3
5/16/2019,6:00:19 AM,0,0.686,18.2
5/16/2019,7:00:19 AM,0,0.681,18.1
5/16/2019,8:00:19 AM,0,0.682,18
5/16/2019,9:00:19 AM,0,0.682,18
5/16/2019,10:00:19 AM,0,0.67,18
5/16/2019,11:00:19 AM,0,0.697,17.9
5/16/2019,12:00:19 PM,0,0.733,17.7
5/16/2019,1:00:19 PM,0,0.677,17.5
5/16/2019,2:00:19 PM,0,0.612,17.6
5/16/2019,3:00:19 PM,0,0.68,17.8
5/16/2019,4:00:19 PM,0,0.739,18.2
5/16/2019,5:00:19 PM,0,0.691,18.6
5/16/2019,6:00:19 PM,0,0.695,18.8
5/16/2019,7:00:19 PM,0,0.698,18.9
5/16/2019,8:00:19 PM,0,0.718,18.9
5/16/2019,9:00:19 PM,0,0.71,18.8
5/16/2019,10:00:19 PM,0,0.716,18.6
5/16/2019,11:00:19 PM,0,0.679,18.3
5/17/2019,12:00:19 AM,0,0.699,18.2
5/17/2019,1:00:19 AM,0,0.721,18.2
5/17/2019,2:00:19 AM,0,0.715,18.2
5/17/2019,3:00:19 AM,0,0.721,18.2
5/17/2019,4:00:19 AM,0,0.722,18.1
5/17/2019,5:00:19 AM,0,0.689,18
5/17/2019,6:00:19 AM,0,0.703,17.9
5/17/2019,7:00:19 AM,0,0.707,17.7
5/17/2019,8:00:19 AM,0,0.703,17.5
5/17/2019,9:00:19 AM,0,0.698,17.3
5/17/2019,10:00:19 AM,0,0.715,17.2
5/17/2019,11:00:19 AM,0,0.734,17.2
5/17/2019,12:00:19 PM,0,0.692,17
5/17/2019,1:00:19 PM,0,0.702,17
5/17/2019,2:00:19 PM,0,0.661,17.1
5/17/2019,3:00:19 PM,0,0.662,17.1
5/17/2019,4:00:19 PM,0,0.693,17.4
5/17/2019,5:00:19 PM,0,0.7,17.7
5/17/2019,6:00:19 PM,0,0.677,17.2
5/17/2019,7:00:19 PM,0,0.688,17.2
5/17/2019,8:00:19 PM,0,0.676,16.9
5/17/2019,9:00:19 PM,0,0.687,16.9
5/17/2019,10:00:19 PM,0,0.678,16.8
5/17/2019,11:00:19 PM,0,0.67,16.7
5/18/2019,12:00:19 AM,0,0.681,16.7
5/18/2019,1:00:19 AM,0,0.692,16.5
5/18/2019,2:00:19 AM,0,0.671,16.3
5/18/2019,3:00:19 AM,0,0.697,16.2
5/18/2019,4:00:19 AM,0,0.662,16.1
5/18/2019,5:00:19 AM,0,0.675,16
5/18/2019,6:00:19 AM,0,0.677,15.9
5/18/2019,7:00:19 AM,0,0.691,15.9
5/18/2019,8:00:19 AM,0,0.687,15.9
5/18/2019,9:00:19 AM,0,0.667,15.9
5/18/2019,10:00:19 AM,0,0.653,16
5/18/2019,11:00:19 AM,0,0.672,16.1
5/18/2019,12:00:19 PM,0,0.698,16.6
5/18/2019,1:00:19 PM,0,0.681,16.6
5/18/2019,2:00:19 PM,0,0.686,17
5/18/2019,3:00:19 PM,0,0.659,17.2
5/18/2019,4:00:19 PM,0,0.643,17.2
5/18/2019,5:00:19 PM,0,0.651,17.1
5/18/2019,6:00:19 PM,0,0.713,17.5
5/18/2019,7:00:19 PM,0,0.689,17.2
5/18/2019,8:00:19 PM,0,0.683,17.1
5/18/2019,9:00:19 PM,0,0.678,17
5/18/2019,10:00:19 PM,0,0.683,16.7
5/18/2019,11:00:19 PM,0,0.695,16.8
5/19/2019,12:00:19 AM,0,0.679,16.6
5/19/2019,1:00:19 AM,0,0.657,16.6
5/19/2019,2:00:19 AM,0,0.666,16.4
5/19/2019,3:00:19 AM,0,0.661,16.3
5/19/2019,4:00:19 AM,0,0.669,16.1
5/19/2019,5:00:19 AM,0,0.666,16
5/19/2019,6:00:19 AM,0,0.669,16.1
5/19/2019,7:00:19 AM,0,0.67,16
5/19/2019,8:00:19 AM,0,0.67,16
5/19/2019,9:00:19 AM,0,0.685,16.1
5/19/2019,10:00:19 AM,0,0.68,16.3
5/19/2019,11:00:19 AM,0,0.691,16.5
5/19/2019,12:00:19 PM,0,0.679,16.6
5/19/2019,1:00:19 PM,0,0.686,17.1
5/19/2019,2:00:19 PM,0,0.68,17.6
5/19/2019,3:00:19 PM,0,0.694,17.6
5/19/2019,4:00:19 PM,0,0.708,17.6
5/19/2019,5:00:19 PM,0,0.707,17.8
5/19/2019,6:00:19 PM,0,0.694,17.9
5/19/2019,7:00:19 PM,0,0.71,17.8
5/19/2019,8:00:19 PM,0,0.716,17.5
5/19/2019,9:00:19 PM,0,0.703,17.3
5/19/2019,10:00:19 PM,0,0.708,17.3
5/19/2019,11:00:19 PM,0,0.709,17.2
5/20/2019,12:00:19 AM,0,0.703,17.1
5/20/2019,1:00:19 AM,0,0.688,16.8
5/20/2019,2:00:19 AM,0,0.693,16.7
5/20/2019,3:00:19 AM,0,0.688,16.5
5/20/2019,4:00:19 AM,0,0.688,16.3
5/20/2019,5:00:19 AM,0,0.686,16.1
5/20/2019,6:00:19 AM,0,0.692,15.7
5/20/2019,7:00:19 AM,0,0.704,15.5
5/20/2019,8:00:19 AM,0,0.702,15.2
5/20/2019,9:00:19 AM,0,0.7,15.4
5/20/2019,10:00:19 AM,0,0.702,15.1
5/20/2019,11:00:19 AM,0,0.69,15.2
5/20/2019,12:00:19 PM,0,0.676,15.6
5/20/2019,1:00:19 PM,0,0.692,15.7
