Date,Time,ms,LEVEL,TEMPERATURE
5/14/2019,7:00:19 PM,0,0.243,18.9
5/14/2019,8:00:19 PM,0,0.224,18.5
5/14/2019,9:00:19 PM,0,0.225,17.8
5/14/2019,10:00:19 PM,0,0.228,17.4
5/14/2019,11:00:19 PM,0,0.229,16.9
5/15/2019,12:00:19 AM,0,0.214,16.4
5/15/2019,1:00:19 AM,0,0.216,16.1
5/15/2019,2:00:19 AM,0,0.22,15.6
5/15/2019,3:00:19 AM,0,0.218,15.4
5/15/2019,4:00:19 AM,0,0.218,15.1
5/15/2019,5:00:19 AM,0,0.221,14.9
5/15/2019,6:00:19 AM,0,0.227,14.7
5/15/2019,7:00:19 AM,0,0.241,14.6
5/15/2019,8:00:19 AM,0,0.239,14.6
5/15/2019,9:00:19 AM,0,0.221,15.1
5/15/2019,10:00:19 AM,0,0.233,16.3
5/15/2019,11:00:19 AM,0,0.23,17.2
5/15/2019,12:00:19 PM,0,0.233,17.7
5/15/2019,1:00:19 PM,0,0.216,18.9
5/15/2019,2:00:19 PM,0,0.22,19
5/15/2019,3:00:19 PM,0,0.227,20.5
5/15/2019,4:00:19 PM,0,0.227,21.3
5/15/2019,5:00:19 PM,0,0.229,21.9
5/15/2019,6:00:19 PM,0,0.221,21.6
5/15/2019,7:00:19 PM,0,0.227,21.2
5/15/2019,8:00:19 PM,0,0.228,20.5
5/15/2019,9:00:19 PM,0,0.228,19.9
5/15/2019,10:00:19 PM,0,0.221,19.6
5/15/2019,11:00:19 PM,0,0.214,19.2
5/16/2019,12:00:19 AM,0,0.22,18.7
5/16/2019,1:00:19 AM,0,0.203,18.4
5/16/2019,2:00:19 AM,0,0.207,18.2
5/16/2019,3:00:19 AM,0,0.214,18
5/16/2019,4:00:19 AM,0,0.205,17.8
5/16/2019,5:00:19 AM,0,0.208,17.6
5/16/2019,6:00:19 AM,0,0.209,17.4
5/16/2019,7:00:19 AM,0,0.201,17.2
5/16/2019,8:00:19 AM,0,0.202,17.3
5/16/2019,9:00:19 AM,0,0.199,17.7
5/16/2019,10:00:19 AM,0,0.193,18
5/16/2019,11:00:19 AM,0,0.22,17.9
5/16/2019,12:00:19 PM,0,0.256,17.9
5/16/2019,1:00:19 PM,0,0.176,17.8
5/16/2019,2:00:19 PM,0,0.147,17.8
5/16/2019,3:00:19 PM,0,0.191,18.2
5/16/2019,4:00:19 PM,0,0.256,19.2
5/16/2019,5:00:19 PM,0,0.22,20.3
5/16/2019,6:00:19 PM,0,0.218,20.6
5/16/2019,7:00:19 PM,0,0.224,20.6
5/16/2019,8:00:19 PM,0,0.244,20.3
5/16/2019,9:00:19 PM,0,0.236,20
5/16/2019,10:00:19 PM,0,0.239,19.8
5/16/2019,11:00:19 PM,0,0.202,19.6
5/17/2019,12:00:19 AM,0,0.216,19.3
5/17/2019,1:00:19 AM,0,0.235,19.1
5/17/2019,2:00:19 AM,0,0.232,19
5/17/2019,3:00:19 AM,0,0.253,19
5/17/2019,4:00:19 AM,0,0.242,18.3
5/17/2019,5:00:19 AM,0,0.203,18
5/17/2019,6:00:19 AM,0,0.22,17.6
5/17/2019,7:00:19 AM,0,0.224,17.3
5/17/2019,8:00:19 AM,0,0.223,17
5/17/2019,9:00:19 AM,0,0.221,17
5/17/2019,10:00:19 AM,0,0.223,16.9
5/17/2019,11:00:19 AM,0,0.254,16.5
5/17/2019,12:00:19 PM,0,0.215,16.3
5/17/2019,1:00:19 PM,0,0.219,16.3
5/17/2019,2:00:19 PM,0,0.187,16.6
5/17/2019,3:00:19 PM,0,0.191,16.9
5/17/2019,4:00:19 PM,0,0.204,17.5
5/17/2019,5:00:19 PM,0,0.223,17.7
5/17/2019,6:00:19 PM,0,0.197,18.1
5/17/2019,7:00:19 PM,0,0.214,17.7
5/17/2019,8:00:19 PM,0,0.199,17.1
5/17/2019,9:00:19 PM,0,0.213,16.6
5/17/2019,10:00:19 PM,0,0.201,16.2
5/17/2019,11:00:19 PM,0,0.193,15.9
5/18/2019,12:00:19 AM,0,0.204,15.6
5/18/2019,1:00:19 AM,0,0.217,15.3
5/18/2019,2:00:19 AM,0,0.194,15
5/18/2019,3:00:19 AM,0,0.219,14.8
5/18/2019,4:00:19 AM,0,0.185,14.7
5/18/2019,5:00:19 AM,0,0.198,14.6
5/18/2019,6:00:19 AM,0,0.197,14.3
5/18/2019,7:00:19 AM,0,0.211,14.2
5/18/2019,8:00:19 AM,0,0.207,14.3
5/18/2019,9:00:19 AM,0,0.196,14.6
5/18/2019,10:00:19 AM,0,0.176,14.8
5/18/2019,11:00:19 AM,0,0.192,16.1
5/18/2019,12:00:19 PM,0,0.215,16.8
5/18/2019,1:00:19 PM,0,0.201,17.1
5/18/2019,2:00:19 PM,0,0.203,17.1
5/18/2019,3:00:19 PM,0,0.182,17.5
5/18/2019,4:00:19 PM,0,0.19,17.4
5/18/2019,5:00:19 PM,0,0.189,17.2
5/18/2019,6:00:19 PM,0,0.227,17.3
5/18/2019,7:00:19 PM,0,0.2,17.4
5/18/2019,8:00:19 PM,0,0.203,17.3
5/18/2019,9:00:19 PM,0,0.195,17.2
5/18/2019,10:00:19 PM,0,0.2,17
5/18/2019,11:00:19 PM,0,0.212,16.6
5/19/2019,12:00:19 AM,0,0.199,16.1
5/19/2019,1:00:19 AM,0,0.177,15.8
5/19/2019,2:00:19 AM,0,0.189,15.3
5/19/2019,3:00:19 AM,0,0.181,15
5/19/2019,4:00:19 AM,0,0.186,14.9
5/19/2019,5:00:19 AM,0,0.185,14.7
5/19/2019,6:00:19 AM,0,0.189,14.7
5/19/2019,7:00:19 AM,0,0.19,14.9
5/19/2019,8:00:19 AM,0,0.187,14.7
5/19/2019,9:00:19 AM,0,0.199,15.1
5/19/2019,10:00:19 AM,0,0.197,15.8
5/19/2019,11:00:19 AM,0,0.211,16.1
5/19/2019,12:00:19 PM,0,0.19,16.7
5/19/2019,1:00:19 PM,0,0.206,17.4
5/19/2019,2:00:19 PM,0,0.191,19
5/19/2019,3:00:19 PM,0,0.196,19.2
5/19/2019,4:00:19 PM,0,0.21,19.8
5/19/2019,5:00:19 PM,0,0.221,20
5/19/2019,6:00:19 PM,0,0.202,19.9
5/19/2019,7:00:19 PM,0,0.215,20
5/19/2019,8:00:19 PM,0,0.218,19.8
5/19/2019,9:00:19 PM,0,0.214,19.2
5/19/2019,10:00:19 PM,0,0.216,18.6
5/19/2019,11:00:19 PM,0,0.217,18.1
5/20/2019,12:00:19 AM,0,0.208,17.6
